timestamp,emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
1013466154718,-48,39,-3,-7,6,49,1,-26
1013466156196,72,-15,12,15,62,24,80,48
1013466156196,39,32,7,-5,-54,-118,-128,8
1013466177194,-94,-16,-15,-27,-64,-82,31,36
1013466177194,31,10,16,11,15,-3,-56,37
1013466178711,-78,-6,-6,-4,14,35,71,-15
1013466178711,-40,-22,-5,4,-12,-18,-8,-3
1013466192042,43,54,11,18,77,48,-8,23
1013466192042,75,-41,-11,-7,-13,-14,-1,7
1013466193623,-27,36,-2,-10,-45,-50,-63,-24
1013466193623,38,24,16,13,27,85,103,-15
1013466214581,-39,-5,-9,-17,-34,3,-95,-64
1013466214581,-50,11,-2,21,60,41,-37,15
1013466216160,-24,-49,2,4,26,-45,57,31
1013466216160,7,-10,7,-2,-40,-16,-9,60
1013466237187,63,4,-7,-14,-51,-65,-25,-68
1013466237187,101,62,12,14,54,77,42,89
1013466238658,15,54,-17,1,-33,-76,-21,25
1013466238658,-54,-83,-6,-27,-20,-25,-86,-62
1013466252130,68,40,7,6,16,29,-51,-14
1013466252130,-121,-9,0,6,12,20,5,4
1013466253835,46,44,-9,26,102,75,72,-4
1013466253835,9,-63,-15,-19,-69,-39,-8,17
1013466274706,48,-52,-1,-6,-1,71,43,-25
1013466274706,5,73,3,-13,-25,-46,3,39
1013466276186,-29,-34,4,-6,-30,-31,-6,-44
1013466276186,59,4,8,15,39,51,33,-41
1013466297182,-86,1,2,-8,-38,-38,-7,-63
1013466297182,17,8,-12,-5,15,43,75,-7
1013466298842,5,-50,24,7,-7,-8,-67,77
1013466298842,24,75,-9,-11,-8,8,19,25
1013466312219,14,-32,3,26,78,31,80,-21
1013466312219,-38,-11,-11,-18,-51,-73,13,34
1013466313680,12,13,0,-16,-45,-36,-46,-101
1013466313680,-13,-14,0,25,123,113,11,-6
1013466334686,-54,1,-8,-29,-104,-109,-109,1
1013466334686,88,44,-16,9,25,-43,-76,-44
1013466336156,-128,-68,-9,-18,-9,40,95,27
1013466336156,78,35,19,-1,-43,-20,-15,19
1013466356477,-8,-21,2,16,56,33,18,46
1013466356477,12,-19,2,11,70,127,49,-7
1013466357162,53,9,2,4,-56,-73,52,-47
1013466357162,-36,-12,-10,-4,26,47,14,-41
1013466370856,89,-8,-9,-18,-85,-84,33,15
1013466370856,-52,7,-1,-6,-40,-6,-38,-56
1013466379095,11,-30,15,6,27,77,24,27
1013466379095,-20,17,-1,15,35,16,127,34
1013466394005,-28,27,4,7,54,15,13,-14
1013466394005,80,-4,4,-4,-77,-105,52,24
1013466394690,11,23,-9,-11,15,89,-54,-3
1013466394690,-4,15,-6,-14,-62,-128,-126,-92
1013466416554,-29,57,0,20,114,93,-20,9
1013466416554,17,-61,3,-11,-68,-9,90,90
1013466417249,-55,51,6,-5,-11,-80,-87,-33
1013466417249,-9,-33,1,-6,36,79,76,73
1013466431429,-38,12,-1,22,39,-17,61,-45
1013466431429,-3,-49,-10,-18,-45,-46,53,75
1013466432314,47,75,-2,0,3,17,21,2
1013466432314,-19,-90,-7,-5,-32,20,-73,-28
1013466453934,10,-7,5,-6,-31,8,-36,-56
1013466453934,-39,14,-1,20,83,44,42,-33
1013466454700,23,-46,-21,-3,-24,-40,16,11
1013466454700,36,125,9,-11,-8,-18,-19,-4
1013466476567,15,-74,-4,-3,-31,-61,119,39
1013466476567,-73,-44,-3,-20,-67,-81,-128,-128
1013466477212,70,11,11,10,59,102,70,31
1013466477212,-30,25,2,15,-11,-126,53,8
1013466491499,106,6,-4,-10,0,48,3,23
1013466491499,3,8,1,11,20,-35,28,75
1013466492208,-41,33,15,-6,-38,31,35,-43
1013466492208,1,-37,-2,8,-3,-7,64,27
1013466514001,-82,-18,6,18,52,75,-14,-48
1013466514001,63,55,-5,-12,-40,-52,-4,60
1013466514677,29,4,-13,3,51,106,17,-3
1013466514677,3,-49,-6,-11,-54,46,-59,-20
1013466536543,-66,58,-8,-26,-60,-74,-77,-25
1013466536543,2,-55,-6,13,121,127,103,23
1013466537229,-5,-29,-5,-3,-101,-128,-39,6
1013466537229,-21,-11,-4,3,57,107,24,2
1013466551523,88,51,-5,-1,-16,-128,-78,65
1013466551523,16,-41,9,-15,-34,-3,-69,-59
1013466552285,-8,23,1,-3,19,-26,-59,13
1013466552285,12,-2,-2,6,36,59,39,34
1013466574056,-98,-27,5,12,7,50,10,-37
1013466574056,58,4,9,6,45,60,55,35
1013466574737,13,1,5,2,-2,-8,105,-56
1013466574737,41,35,-3,-12,-72,-31,-75,5
1013466596514,-88,-48,-4,2,-21,-80,84,42
1013466596514,73,52,1,14,58,123,21,-5
1013466597239,-66,-26,2,-21,-44,79,-84,15
1013466597239,-88,-40,-21,-18,-37,-128,-12,18
1013466610847,102,31,35,15,8,127,44,22
1013466610847,-70,-17,-2,9,24,1,-73,-40
1013466618996,79,25,-1,17,56,-40,-24,105
1013466618996,-68,7,-3,-5,-47,-75,-105,-74
1013466633884,36,0,-11,2,36,79,83,63
1013466633884,13,18,13,10,-29,-128,-77,-31
1013466634770,-35,51,-15,-18,-22,59,65,75
1013466634770,105,10,-3,-1,52,20,-49,-60
1013466656511,-83,-113,-22,-17,-55,-105,-6,21
1013466656511,37,33,-8,4,39,102,-111,-68
1013466657204,-79,3,-6,-18,-67,-128,-63,44
1013466657204,127,37,1,-12,-24,73,108,9
1013466671313,-43,56,4,10,36,109,33,46
1013466671313,19,-76,-6,16,73,49,14,-53
1013466672133,-46,-18,-9,-4,-54,-25,-56,-31
1013466672133,21,-37,25,18,37,-8,-19,19
1013466693889,-45,-20,-9,-25,-19,40,-90,-71
1013466693889,12,12,1,-4,25,114,127,-30
1013466694704,0,-5,-2,19,-37,-73,-64,64
1013466694704,-27,-27,-1,-11,10,100,8,6
1013466716349,101,-12,1,-18,-66,-40,34,-65
1013466716349,-52,-20,-5,-21,-28,-50,-29,9
1013466717145,46,23,-2,21,56,16,113,-37
1013466717145,-67,-30,4,19,59,31,37,25
1013466731332,94,15,-2,-11,24,-31,-126,-4
1013466731332,27,38,4,-24,-103,-57,-61,0
1013466732163,-33,-8,-3,2,64,87,102,17
1013466732163,-34,4,0,13,13,-22,126,4
1013466753894,-14,-26,11,2,0,-22,-21,-44
1013466753894,-128,-15,-7,-6,-28,-34,30,-5
1013466754636,105,1,16,5,-5,4,-46,-20
1013466754636,-65,8,-2,-11,-45,21,-73,-6
1013466776331,112,15,-15,-8,-7,-17,-120,0
1013466776331,-33,-8,4,0,-29,-65,-3,15
1013466777148,-55,-19,7,12,75,86,42,19
1013466777148,42,62,9,10,27,-12,76,-48
1013466790690,-31,-52,5,22,-4,-27,-58,49
1013466790690,17,68,-8,-28,-53,3,-55,3
1013466798894,58,-48,-7,6,67,85,50,-50
1013466798894,40,-13,-8,-7,-52,-111,-60,88
1013466813855,3,63,12,16,61,122,64,79
1013466813855,45,-12,28,21,20,110,29,-15
1013466814633,-18,-6,-3,-20,-95,-20,-37,9
1013466814633,24,3,-6,-2,24,64,24,6
1013466836346,-25,37,-16,-7,17,55,37,-19
1013466836346,2,-51,17,25,38,-17,25,48
1013466837145,-22,-6,1,-2,-6,-58,28,-48
1013466837145,50,28,1,0,-4,25,44,25
1013466850650,-100,5,-8,-2,-1,-2,79,-24
1013466850650,-6,21,-10,12,32,51,-9,-27
1013466858905,49,-5,13,3,-1,-72,-79,-46
1013466858905,-11,-21,-3,-6,-49,-28,57,-15
1013466873832,73,48,5,-5,-4,57,15,27
1013466873832,-39,-10,-14,-20,-50,-128,1,66
1013466874644,-93,-21,-12,-9,-35,-22,-109,-96
1013466874644,-7,17,5,0,23,47,-19,-33
